Account	Hardfork Balance	Current Balance
0xdf44dc408b085f9344d78fecca4981e7df474160	14999.989	0
0x08152de71490f4a9057443cf2655eee09f8c43c6	14849.00729	0
0x8f87d7054886c88a2b1d180fb117c9c6489b4c19	14455.85472	0
0xcd8368170358d401cd03c66065fe4ae12aa5ee58	13902.6088	0
0x461511b491b4c8c9dad736b2549ad5ac4e432144	13000.00007	0
0x8ff5bf3f1bdc1d134c4b5c999cf81d8dce4dfb8f	12999.99852	9509.760141
0x9f4b432991be5701dc9b5648eb660ad88400e5cf	12999.99373	9509.756639
0x11e7f9ebadb1a19b56af33c0cb4a1e0f6ccb39d9	12653.81	1611.436539
0xbf872c3e26059bb874ea1cfd416d7b7c17b3a2ec	12200	8924.545149
0xa270ae8ae40ef3bfd30b39cce3edd5aac3f71f36	12182.92391	0
0xdf0ef59ea41f0e299f442137d79f13d9a525d097	12179.39877	0
0xd8cbb14b88c0534bd2b24a6a8427f3710f508025	12000	0
0x465db9efe4b041ad6f209e74c8ca40db1a23e371	12000	8778.241131
0x2d204de0d4e24596315b2059fccf3594b1cb034d	11561.24556	0
0x884a7a39d0916e05f1c242df55607f37df8c5fda	11471.7438	0
0x97b41d7242a87bb548ccfd51c95e2f87967c90de	11264.91688	1434.563872
0x5e44e1cb6f4991beae7c22f0177df752169841f0	11234.55	0
0x45160aeab5d085e28524bcbf0c9bc0d41b49beab	11079.22861	0
0xdcb64df43758c7cf974fa660484fbb718f8c67c1	10902.89287	0
0xc0b3f244bca7b7de5b48a53edb9cbeab0b6d88c0	10540	0
0xf699aa42dad73f5cbe012bc91ab9710b1b6ac6b4	10502.9406	1337.527768
0x1940dc9364a852165f47414e27f5002445a4f143	10500	0
0x7d47ee7f8f4a7dafa26006c6b7d390bcd16f3cfb	10453.04348	0
0x167239336726f991be832f2ca8d0138862e0640f	10200	7461.504961
0xd729fb3c410640105645fea812f5d50f1b808f4c	10100	0
0x669e21faae75c83871214fca517f1083f9e93c66	10092	0
0x55c9405fe81f894c1ddbd74a02cefb378d8cc316	10088.49852	0
0x075596a901052aeb1cd4ddbc78311f40c2bb3b82	10049.37055	0
0x8e64e3cec4adb45dfb0a189ab8a9c028705c44e8	10047	3717.094048
0x3e5abd09ce5af7ba8487c359e0f2a93a986b0b18	10010.01	0
0x01baf5e761e1ab5942cb1bea9c064b3b466c41de	10010	0
0x20a5d29313ada19456284d6fd1e9bc437f02d03f	10005	7318.858543
0xff81facc55c957a26e7a37ab7cb7cf595862ab3a	10001.5	0
0xa204010d0ff84eaf79270082b7bc44b7d4b7c88a	10001	0
0x9cf61ae93f2cf103a46135bb9425262472d64bae	10000.5	7315.566702
0xf272f53d35d37d680502549b66bdc8dc43c0078d	10000	7315.200942
0x2565f8e0b33f2d3bb1c0e2dd5fbb972df48654c8	10000	7315.200942
0xdd0ad92a688ebed508e823ef4a1f6a676ded48bc	10000	0
0xb2fc84a3e50a50af02f94da0383ed59f71ff01d7	10000	0
0x7e7f348cbc383bc599f9411758d06e9c37356904	10000	0
0x16be75e98a995a395222d00bd79ff4b6e638e191	10000	0
0xcc9041270cefa472c25ed8e8254c72b42793f4ef	10000	0
0x1a464bf88ee007320936885e1840f398e02aa401	10000	0
0x4074367c0adbb45377ba6e40c904dbd24257f21d	10000	0
0x74b7e0228baed65957aebb4d916d333aae164f0e	10000	3699.705433
0xa448cc4091d3a45f9d1e99f913a7c65dddaa07d2	10000	0
0xe845e387c4cbdf982280f6aa01c40e4be958ddb2	10000	0
0x220ca50c636726911640fc38d5c37cbe33b9ad1e	10000	0
0xfda3042819af3e662900e1b92b4358eda6e92590	10000	7315.200942
0x537f9d4d31ef70839d84b0d9cdb72b9afedbdf35	10000	7315.200942
0x5d5425a43198b057ab4ddecd32a81282f8a750bf	10000	0
0xde5b799c9b330fcdadcf4f714c4a104c5c262a5f	9999.97913	0
0x0ea2a210312b3e867ee0d1cc682ce1d666f18ed5	9949	0
0x7abb10f5bd9bc33b8ec1a82d64b55b6b18777541	9800	0
0x994b9a3c9a046c3f8291aac42508acd1bcdd3deb	9798.083782	0
0x06c68d04aaaf5da137d4a3be785d388bab9f5c23	9728.826095	7116.831782
0x0037a6b811ffeb6e072da21179d11b1406371c63	9573.1	0
0x128a4ba70d7c26bba06730aa329247973de69a35	9499.9995	0
0x1f8423c1144744c2b562899d2e6d11f9f72d023e	9461.5	6921.277371
0x22b2b07b38fe213ba32012ab30f05ed98f29ed31	9400	6876.288886
0x5760d7d42f0af8ca6a8f6ea3cdb5a6d5a2bffb6f	9390.405424	0
0x3cea2013011fb328c1ec444456a1f1563a60dcf0	9285.704762	0
0xbec2ea4ac0d6c9503e056f0aad6fae50f62b980b	9285.695238	0
0xd930fa0c3a76762846371e649b146ded01bf0e06	9285.695238	0
0x46d0d83320fa888c1f8469dd1d121179a9210a29	9238.07619	0
0x0b990fe811bec167268cdcda0e8c24d9069a8dac	9226.363636	0
0x668b6ba8ab08eace39c502ef672bd5ccb6a67a20	9092.727273	6651.512711
0x3f521afb8f5b25260686a3252baae7fbeeeced83	9000.0198	6583.695332
0xf32866d5ce9a9b5673e076be48abcd6ed48ade78	8857.45034	0
0x8164e78314ae16b28926cc553d2ccb16f356270d	8500	0
0xa2b7b8827e543fef970b598599a86d489ff5f16a	8374.649254	0
0x36f1b0f53ee374a7d6116e6987b31010ca50bc68	8094.605217	5921.366371
0x82a7e05b1163d8773289acf32d2baa5e8bde53d9	8005.99	5856.542559
0xd5951e25f9f1a70fdf6bdaab8d8c8e82c6dcf09c	8000	5852.160754
0xc2e0584a71348cc314b73b2029b6230b92dbb116	7857.44	0
0x038e45eadd3d88b87fe4dab066680522f0dfc8f9	7815.391628	2891.464686
0x63ff298c378e3778df64186507c9eb312703b6d0	7699.5986	2848.624677
0x29341ab6695955ef93ea5b58a147694bde96172e	7628.162	0
0x8f440e3ff2b2d1836ba17ad956bfcafb690f5c39	7500	0
0x0beb5591c8d644fbbdb853a42730084c78e46be1	7500	955.109492
0xfead9f5b170e54375166c6bcf1d28fee2aee55a4	7500	955.109492
0xb81364dbd8454222d6a0be6acb3d3985b3706b71	7418.111572	0
0x0f76b33f1bcb7cc0cf07c419fc6345aadcc90fe2	7346.265274	5373.940665
0xd0caae6809a855a38bd19ca3741c8a1c0c1137f7	7269.8085	2689.615
0xa48e46b33f5e025ad0e92ecfb266d6fdba324656	7196.7588	2662.588763
0xe7e02a320ffe2edfcc2bdadd4042e9f5191be3db	7184.55	0
0xe7a42f59fee074e4fb13ea9e57ecf1cc48282249	7150	910.5377157
0xceb76f36066cd100af7957a83103f1e4c9696824	7138.21087	5221.744688
0x4e1e2d8039f2a1c46d9722a1f265b6679343e676	7118.1	5207.033183
0x599728a78618d1a17b9e34e0fed8e857d5c40622	7065.555218	5168.595619
0x15ac769c14e9aba29ad404b9d139ac5c862d86cb	7001	5121.37218
0xc1f9a8d686da1063b8d7070a93dc1fcc5bd8c1d1	7000	891.4355259
0xb23c4e5688f448514a2416ef68c008477b6e7b20	7000	891.4355259
0x65a095eff98e8976e3ce4883f30876617f9ec989	7000	891.4355259
0x1e1cb6fd9fc3dc9acde89d5aa600e08f142dd282	7000	891.4355259
0x2955ba2fae104e217870929373f915288d059315	7000	891.4355259
0xea4b264d4ca18149fb58fdd048963598a54d626e	7000	891.4355259
0x7f46d226934f861253ed1ceeac9438eb872cdad5	7000	891.4355259
0xed9e68f7106731503188b35ed4ece101979c24f9	7000	891.4355259
0xddd602a1449ef6acc1783cff6fdd1f846deff828	7000	891.4355259
0x1e2bffd0bfbcda3424e9319e531f5ab8719e9164	7000	891.4355259
0x47fc32d687078c6b0e831b8cc19a431d4bf01566	7000	891.4355259
0xb4f0cfdea3f7b5590713db382f0e448bba32d6b1	7000	891.4355259
0x53f986029499002decc1c154ef3b2e08be6c53d8	7000	891.4355259
0xd55770c7a10f4a2f84877cd4ff31932e7dec7ac9	7000	891.4355259
0x057292323b7177ec9b58e61c033b26f1fdc3e7b2	6905.714286	5051.668765
